City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
245,arraial do cabo,-22.9661,-42.0278,20.72,69,1,7.04,BR,1689463589
246,acarau,-2.8856,-40.12,26.26,82,5,8.51,BR,1689463589
247,pisco,-13.7,-76.2167,20.03,77,0,6.69,PE,1689463589
248,carnarvon,-24.8667,113.6333,13.12,41,0,6.02,AU,1689463590
249,bengkulu,-3.8004,102.2655,23.94,89,80,1.53,ID,1689463345
250,sandnessjoen,66.0217,12.6316,10.29,65,44,7.57,NO,1689463590
251,pacific grove,36.6177,-121.9166,27.53,80,40,3.6,US,1689463590
252,inongo,-1.95,18.2667,23.13,57,61,1.78,CD,1689463591
253,north bend,43.4065,-124.2243,27.91,77,75,9.26,US,1689463592
254,quincy,42.2529,-71.0023,29.67,78,75,5.66,US,1689463592
255,caburan,5.9181,125.6411,26.51,81,100,3.45,PH,1689463592
256,reggane,26.7158,0.1714,37.02,6,8,4.62,DZ,1689463593
257,talnakh,69.4865,88.3972,3.45,88,100,5.24,RU,1689463593
258,kingston,17.997,-76.7936,30.69,79,20,8.75,JM,1689463572
259,laojunmiao,39.8333,97.7333,22.34,27,1,2.27,CN,1689463535
260,gamay,12.3854,125.2979,26.62,83,98,2.54,PH,1689463594
261,tutoia,-2.7619,-42.2744,26.61,84,39,5.95,BR,1689463594
262,antsiranana,-12.2787,49.2917,21.95,66,48,3.0,MG,1689463594
263,fortuna,40.5982,-124.1573,20.52,82,40,6.69,US,1689463595
264,afaahiti,-17.75,-149.2833,27.93,68,17,3.88,PF,1689463595
265,hanting,36.7708,119.2108,25.71,58,0,1.22,CN,1689463587
266,caravaca,38.1056,-1.8634,26.95,45,0,1.25,ES,1689463595
267,al hazm,16.1641,44.7769,28.73,43,8,4.41,YE,1689463596
268,paphos,34.7667,32.4167,29.88,30,0,3.6,CY,1689463596
269,cabo san lucas,22.8909,-109.9124,35.9,52,20,5.14,MX,1689463596
270,puerto deseado,-47.7503,-65.8938,2.49,82,73,5.65,AR,1689463597
271,port macquarie,-31.4333,152.9167,16.05,54,1,2.67,AU,1689463597
272,kantunilkin,21.0917,-87.45,34.55,42,39,3.99,MX,1689463597
273,road town,18.4167,-64.6167,29.05,74,40,4.12,VG,1689463597
274,malvan,16.0667,73.4667,26.48,86,96,5.96,IN,1689463598
275,la passe,45.5549,-0.8967,18.88,69,3,5.03,FR,1689463598
276,sao joao da barra,-21.6403,-41.0511,21.05,65,43,5.02,BR,1689463598
277,santa vitoria do palmar,-33.5189,-53.3681,8.9,77,46,2.09,BR,1689463598
278,sola,-13.8833,167.55,25.58,79,95,11.75,VU,1689463599
279,ilula,-7.6766,36.0366,12.34,76,0,2.27,TZ,1689463599
280,broome,42.2506,-75.833,29.19,66,0,2.06,US,1689463599
281,pecos,31.4229,-103.4932,39.05,17,0,7.72,US,1689463599
